City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Avarua,CK,-21.2078,-159.775,71.65,60,20,5.75,few clouds
1,Provideniya,RU,64.3833,-173.3,46.51,87,100,8.99,overcast clouds
2,Acapulco,MX,16.8634,-99.8901,82.22,78,100,4.61,overcast clouds
3,Karratha,AU,-20.7377,116.8463,70.83,19,31,17.54,scattered clouds
4,Upernavik,GL,72.7868,-56.1549,38.08,88,93,6.67,overcast clouds
5,Tuktoyaktuk,CA,69.4541,-133.0374,59.0,77,75,8.05,broken clouds
6,Ushuaia,AR,-54.8,-68.3,28.06,86,20,4.61,few clouds
7,San Vicente,AR,-26.6167,-54.1333,62.22,66,100,3.71,overcast clouds
8,Namibe,AO,-15.1961,12.1522,64.71,66,0,4.61,clear sky
9,Henties Bay,NA,-22.116,14.2845,55.02,83,0,8.61,clear sky
10,Puerto Ayora,EC,-0.7393,-90.3518,71.55,86,68,3.0,broken clouds
11,Praya,CV,14.9215,-23.5087,75.74,83,20,14.97,few clouds
12,Busselton,AU,-33.65,115.3333,59.65,45,0,8.7,clear sky
13,Norman Wells,CA,65.282,-126.8329,80.64,39,75,3.44,broken clouds
14,Vaini,TO,-21.2,-175.2,73.56,78,75,11.5,broken clouds
15,Bluff,NZ,-46.6,168.3333,48.79,71,76,18.59,broken clouds
16,Sayat,TM,38.7839,63.8803,80.47,19,0,10.54,clear sky
17,Rikitea,PF,-23.1203,-134.9692,75.45,78,12,19.84,few clouds
18,Caravelas,BR,-17.7125,-39.2481,69.21,83,0,3.18,clear sky
19,San Carlos De Bariloche,AR,-41.1456,-71.3082,37.24,93,75,5.75,snow
20,Khatanga,RU,71.9667,102.5,58.37,46,100,3.8,overcast clouds
21,Bredasdorp,ZA,-34.5322,20.0403,47.34,89,0,3.76,clear sky
22,Oussouye,SN,12.485,-16.5469,78.73,81,97,5.55,overcast clouds
23,Barrow,US,71.2906,-156.7887,46.42,87,100,4.61,light rain
24,Bengkulu,ID,-3.8004,102.2655,82.22,69,99,2.21,overcast clouds
25,Mar Del Plata,AR,-38.0023,-57.5575,44.94,82,0,1.01,clear sky
26,Dikson,RU,73.5069,80.5464,34.27,98,100,10.07,overcast clouds
27,Grindavik,IS,63.8424,-22.4338,51.75,100,75,9.22,broken clouds
28,Hithadhoo,MV,-0.6,73.0833,82.51,73,99,9.48,overcast clouds
29,Tasiilaq,GL,65.6145,-37.6368,37.56,85,77,2.68,broken clouds
30,Xichang,CN,27.8964,102.2634,80.92,58,35,1.54,scattered clouds
